airline,airport,type,block,n,airline_airport
AA,ALB,Arrival,2017-01-01T17:11:00Z,-2,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T17:31:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T17:41:00Z,-2,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T17:51:00Z,-9,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T18:01:00Z,-34,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T18:11:00Z,-50,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T18:21:00Z,-43,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T18:31:00Z,-66,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T18:41:00Z,-43,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T18:51:00Z,-33,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T19:01:00Z,-11,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T19:11:00Z,-6,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T19:21:00Z,-5,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T19:31:00Z,-3,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T19:41:00Z,-4,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T20:01:00Z,-2,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T20:11:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T20:41:00Z,-2,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T20:51:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T21:01:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T22:11:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T22:31:00Z,-1,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T23:31:00Z,-6,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T23:41:00Z,-74,American / Albany International Airport (ALB)
AA,ALB,Arrival,2017-01-01T23:51:00Z,-104,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T00:01:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T05:41:00Z,5,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T05:51:00Z,43,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T06:01:00Z,8,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T06:11:00Z,66,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T06:21:00Z,87,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T06:31:00Z,11,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T06:41:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T06:51:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T07:01:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T07:31:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T07:41:00Z,8,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T07:51:00Z,93,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T08:01:00Z,14,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T08:11:00Z,8,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T08:21:00Z,3,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T08:31:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T08:41:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T08:51:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T09:01:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T10:01:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T12:41:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T12:51:00Z,3,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T13:01:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T14:11:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T14:21:00Z,44,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T14:31:00Z,145,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T14:41:00Z,116,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T14:51:00Z,11,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T15:01:00Z,5,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T15:11:00Z,6,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T15:21:00Z,3,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T15:41:00Z,3,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T15:51:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T16:01:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T16:11:00Z,3,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T16:21:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T16:31:00Z,2,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T16:41:00Z,13,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T16:51:00Z,15,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T17:01:00Z,5,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T17:11:00Z,3,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T17:21:00Z,3,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T17:51:00Z,3,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T18:01:00Z,2,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T18:21:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T18:51:00Z,23,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T19:01:00Z,56,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T19:11:00Z,83,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T19:21:00Z,55,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T19:31:00Z,19,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T19:41:00Z,7,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T19:51:00Z,5,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T20:01:00Z,7,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T20:11:00Z,5,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T20:21:00Z,2,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T20:31:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T20:41:00Z,2,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T20:51:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T21:01:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T21:11:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T21:21:00Z,2,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T21:31:00Z,1,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T22:41:00Z,2,American / Albany International Airport (ALB)
AA,ALB,Departure,2017-01-01T23:01:00Z,1,American / Albany International Airport (ALB)
AA,AMA,Arrival,2017-01-01T01:01:00Z,-1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T01:21:00Z,-1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T13:11:00Z,-1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T15:41:00Z,-1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T16:11:00Z,-1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T17:21:00Z,-12,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T17:31:00Z,-4,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T17:41:00Z,-1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T19:31:00Z,-1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T19:41:00Z,-35,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T19:51:00Z,-29,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T20:01:00Z,-37,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T20:11:00Z,-35,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T20:21:00Z,-21,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T20:31:00Z,-9,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T20:41:00Z,-6,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T20:51:00Z,-4,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T21:01:00Z,-2,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T21:11:00Z,-4,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T21:21:00Z,-1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T21:41:00Z,-2,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T22:01:00Z,-1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T22:11:00Z,-2,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T22:51:00Z,-1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Arrival,2017-01-01T23:41:00Z,-1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T07:21:00Z,1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T07:41:00Z,38,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T07:51:00Z,115,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T08:01:00Z,22,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T08:11:00Z,6,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T08:21:00Z,5,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T08:31:00Z,3,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T08:41:00Z,3,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T08:51:00Z,1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T09:01:00Z,2,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T09:21:00Z,2,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T09:31:00Z,1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T09:41:00Z,1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T09:51:00Z,2,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T10:21:00Z,1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T10:31:00Z,1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T12:01:00Z,1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T14:21:00Z,1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T15:41:00Z,1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T16:31:00Z,2,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T18:01:00Z,1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T20:51:00Z,1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T21:01:00Z,1,American / Rick Husband Amarillo International Airport (AMA)
AA,AMA,Departure,2017-01-01T21:11:00Z,1,American / Rick Husband Amarillo International Airport (AMA)
AA,ATL,Arrival,2017-01-01T00:01:00Z,-90,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T00:11:00Z,-74,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T00:21:00Z,-38,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T00:31:00Z,-50,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T00:41:00Z,-29,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T00:51:00Z,-23,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T01:01:00Z,-17,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T01:11:00Z,-15,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T01:21:00Z,-12,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T01:31:00Z,-10,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T01:41:00Z,-9,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T01:51:00Z,-4,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T02:01:00Z,-5,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T02:11:00Z,-6,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T02:21:00Z,-5,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T02:31:00Z,-7,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T02:41:00Z,-7,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T02:51:00Z,-4,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T03:01:00Z,-3,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T03:11:00Z,-3,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T03:31:00Z,-3,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T04:01:00Z,-1,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T04:11:00Z,-1,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T04:31:00Z,-5,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T04:41:00Z,-19,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T04:51:00Z,-38,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T05:01:00Z,-63,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T05:11:00Z,-88,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T05:21:00Z,-56,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T05:31:00Z,-21,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T05:41:00Z,-21,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T05:51:00Z,-12,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T06:01:00Z,-26,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T06:11:00Z,-7,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T06:21:00Z,-7,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T06:31:00Z,-3,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T06:41:00Z,-2,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T06:51:00Z,-6,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T07:01:00Z,-4,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T07:11:00Z,-1,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T07:31:00Z,-2,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T07:41:00Z,-4,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T07:51:00Z,-11,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T08:01:00Z,-13,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T08:11:00Z,-7,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T08:21:00Z,-10,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T08:31:00Z,-2,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T08:41:00Z,-8,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T08:51:00Z,-54,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T09:01:00Z,-166,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T09:11:00Z,-167,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T09:21:00Z,-91,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T09:31:00Z,-19,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T09:41:00Z,-16,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T09:51:00Z,-46,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T10:01:00Z,-137,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T10:11:00Z,-231,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T10:21:00Z,-129,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T10:31:00Z,-95,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T10:41:00Z,-112,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T10:51:00Z,-102,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T11:01:00Z,-34,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T11:11:00Z,-44,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T11:21:00Z,-199,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T11:31:00Z,-286,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T11:41:00Z,-167,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T11:51:00Z,-82,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T12:01:00Z,-75,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T12:11:00Z,-84,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T12:21:00Z,-69,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T12:31:00Z,-55,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T12:41:00Z,-37,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T12:51:00Z,-44,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T13:01:00Z,-29,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T13:11:00Z,-95,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T13:21:00Z,-159,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T13:31:00Z,-77,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T13:41:00Z,-28,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T13:51:00Z,-17,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T14:01:00Z,-13,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T14:11:00Z,-14,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T14:21:00Z,-92,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T14:31:00Z,-152,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T14:41:00Z,-136,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T14:51:00Z,-164,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T15:01:00Z,-194,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T15:11:00Z,-107,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T15:21:00Z,-100,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T15:31:00Z,-86,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T15:41:00Z,-154,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T15:51:00Z,-271,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T16:01:00Z,-215,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T16:11:00Z,-167,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T16:21:00Z,-110,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T16:31:00Z,-69,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T16:41:00Z,-76,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T16:51:00Z,-65,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T17:01:00Z,-95,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T17:11:00Z,-217,American / Hartsfield-Jackson Atlanta International Airport (ATL)
AA,ATL,Arrival,2017-01-01T17:21:00Z,-208,American / Hartsfield-Jackson Atlanta International Airport (ATL)
